Title,Release Date,Developer,Publisher,Genres,Product Rating,User Score,User Ratings Count,Platforms ,Platform Metascores,Platform Metascore Counts
Virtua Tennis 2009,9/6/2009,Sumo Digital,Sega,Tennis,Rated E For Everyone,7.6,10,"PC, PlayStation 3, Xbox 360, Wii","68, 70, 70, 73","Based on 8 Critic Reviews, Based on 34 Critic Reviews, Based on 43 Critic Reviews, Based on 33 Critic Reviews"
Heroes of Hammerwatch - Ultimate Edition,29/7/2020,Crackshell,BlitWorks,Action RPG,Rated T For Teen,7.7,12,"Xbox One, Nintendo Switch, PlayStation 4","84, 85, 81","Based on 5 Critic Reviews, Based on 8 Critic Reviews, Based on 4 Critic Reviews"
Metal Gear Solid Integral,24/9/2000,Digital Dialect,Microsoft Game Studios,Action Adventure,Rated M For Mature,8.7,261,PC,83,Based on 23 Critic Reviews
Terminator Salvation (2009),19/5/2009,GRIN,Warner Bros. Interactive Entertainment,Third Person Shooter,Rated T For Teen,5.2,38,"PC, PlayStation 3, Xbox 360","49, 43, 48","Based on 18 Critic Reviews, Based on 41 Critic Reviews, Based on 50 Critic Reviews"
Brothers in Arms: Double Time,23/9/2008,Gearbox Software,Ubisoft,Compilation,Rated M For Mature,4,,Wii,45,Based on 13 Critic Reviews
MLB 13: The Show,5/3/2013,SCEA San Diego Studios,SCEA,Baseball Sim,Rated E For Everyone,8,119,"PlayStation 3, PlayStation Vita","87, 75","Based on 36 Critic Reviews, Based on 7 Critic Reviews"
Two Worlds II: Pirates of the Flying Fortress,30/9/2011,Reality Pump,TopWare Interactive,Action RPG,Rated M For Mature,7.2,37,"PC, Xbox 360","78, tbd","Based on 9 Critic Reviews, Based on 2 Critic Reviews"
10 Second Ninja X,19/7/2016,GameDesignDan,Curve Digital,2D Platformer,Rated T For Teen,5.5,23,"PC, PlayStation Vita, Xbox One, PlayStation 4","tbd, tbd, 82, 76","Based on 2 Critic Reviews, Based on 1 Critic Review, Based on 10 Critic Reviews, Based on 16 Critic Reviews"
Plants vs Zombies: Garden Warfare 2,23/2/2016,PopCap,Electronic Arts,Tactical Third Person Shooter,Rated E +10 For Everyone +10,8.1,173,"PlayStation 4, Xbox One, PC","81, 80, 82","Based on 29 Critic Reviews, Based on 66 Critic Reviews, Based on 6 Critic Reviews"
Candle,11/11/2016,Teku Studios,Daedalic Entertainment,2D Platformer,Rated RP For Rate Pending,7.7,80,"PC, Nintendo Switch, Xbox One, PlayStation 4","80, 72, 76, tbd","Based on 15 Critic Reviews, Based on 9 Critic Reviews, Based on 6 Critic Reviews, Based on 2 Critic Reviews"
The Last Blade: Beyond the Destiny,28/10/2020,Code Mystics Inc.,SNK Corporation,2D Fighting,Rated E For Everyone,6.894852313,,Nintendo Switch,68,Based on 9 Critic Reviews
MLB The Show 21,16/4/2021,Sony Interactive Entertainment San Diego Studio,Sony Interactive Entertainment,Baseball Sim,Rated E For Everyone,4.2,165,"PlayStation 4, Xbox One, PlayStation 5, Xbox Series X","79, tbd, 78, 81","Based on 6 Critic Reviews, Based on 1 Critic Review, Based on 37 Critic Reviews, Based on 8 Critic Reviews"
Bliss Island,12/3/2008,Pompom Software,Codemasters,Puzzle,Rated E For Everyone,6.894852313,,Xbox 360,43,Based on 12 Critic Reviews
Koa and the Five Pirates of Mara,27/7/2023,Talpa Games,Chibig,3D Platformer,Rated E +10 For Everyone +10,8,,"PC, PlayStation 5, Xbox Series X, Xbox One, Nintendo Switch","tbd, tbd, tbd, tbd, 73","Based on 3 Critic Reviews, Based on 2 Critic Reviews, Based on 2 Critic Reviews, Based on 1 Critic Review, Based on 8 Critic Reviews"
Advance Wars,9/9/2001,Intelligent Systems,Nintendo,Turn-Based Tactics,Rated E For Everyone,8.7,147,Game Boy Advance,92,Based on 28 Critic Reviews
Jack Keane,15/4/2008,Legacy Interactive,Strategy First,Adventure,Rated T For Teen,6.4,20,PC,69,Based on 25 Critic Reviews
Space Invaders: Invincible Collection,17/8/2021,Taito Corporation,Taito Corporation,Compilation,Not Rated,6.894852313,,Nintendo Switch,77,Based on 14 Critic Reviews
WindJammers,29/8/2017,DotEmu,DotEmu,Individual Sports,Rated E For Everyone,6.8,13,"PlayStation 4, Nintendo Switch","76, 81","Based on 31 Critic Reviews, Based on 14 Critic Reviews"
Shaman King: Master of Spirits 2,2/8/2005,KCEJ,Konami,Action RPG,Rated E +10 For Everyone +10,8,10,Game Boy Advance,72,Based on 9 Critic Reviews
Dead Trigger,28/6/2012,"MADFINGER Games, a.s.","MADFINGER Games, a.s.",FPS,Not Rated,6.5,21,iOS (iPhone/iPad),70,Based on 15 Critic Reviews
FIFA Manager 09,19/12/2008,Bright Future GmbH,Electronic Arts,Soccer Management,Rated E For Everyone,4.3,9,PC,69,Based on 13 Critic Reviews
Sonic CD,14/12/2011,Sega,Sega,2D Platformer,Rated E For Everyone,8.1,99,"PlayStation 3, iOS (iPhone/iPad), Xbox 360","80, 93, 82","Based on 12 Critic Reviews, Based on 13 Critic Reviews, Based on 20 Critic Reviews"
TSIOQUE,7/11/2018,OhNoo,OhNoo,Point-and-Click,Not Rated,8.2,33,PC,68,Based on 12 Critic Reviews
Hard to be a God,19/10/2007,Burut Software,Akella,Western RPG,Not Rated,7,24,PC,55,Based on 11 Critic Reviews
Mercury Meltdown Revolution,15/10/2007,Ignition Entertainment,Ignition Entertainment,Puzzle,Rated E For Everyone,8.1,8,Wii,77,Based on 41 Critic Reviews
Word Puzzle,7/11/2007,InterServ International,InterServ International,Logic Puzzle,Rated E For Everyone,6.894852313,,Xbox 360,43,Based on 16 Critic Reviews
Dead Man's Hand,3/3/2004,Human Head Studios,Atari SA,FPS,Rated T For Teen,5,,"PC, Xbox","63, 62","Based on 15 Critic Reviews, Based on 31 Critic Reviews"
Madden NFL 25,27/8/2013,EA Sports,Electronic Arts,Football Sim,Rated E For Everyone,5.6,149,"Xbox 360, PlayStation 3, Xbox One, PlayStation 4, iOS (iPhone/iPad)","80, 76, 73, 74, 39","Based on 32 Critic Reviews, Based on 19 Critic Reviews, Based on 18 Critic Reviews, Based on 13 Critic Reviews, Based on 8 Critic Reviews"
Astalon: Tears of the Earth,3/6/2021,LABS Works,DANGEN Entertainment,Metroidvania,Rated T For Teen,5.6,20,"Nintendo Switch, PlayStation 4, Xbox One, PC","82, tbd, tbd, 84","Based on 10 Critic Reviews, Based on 2 Critic Reviews, Based on 2 Critic Reviews, Based on 5 Critic Reviews"
Frozen Cortex,19/2/2015,Mode 7 Games,Mode 7 Games,Future Sport,Not Rated,6.3,31,PC,79,Based on 11 Critic Reviews
Soulstice,20/9/2022,Reply Game Studios,Modus Games,Action RPG,Rated M For Mature,5.9,107,"PC, PlayStation 5, Xbox Series X","68, 72, 72","Based on 30 Critic Reviews, Based on 23 Critic Reviews, Based on 18 Critic Reviews"
Resident Evil: Mercenaries VS.,14/4/2011,Capcom,Capcom,Tactical Third Person Shooter,Not Rated,5.7,14,iOS (iPhone/iPad),51,Based on 13 Critic Reviews
The Almost Gone,25/6/2020,Happy Volcano,Playdigious,Adventure,Not Rated,6.8,5,"iOS (iPhone/iPad), PC, Nintendo Switch","tbd, 67, 73","Based on 1 Critic Review, Based on 8 Critic Reviews, Based on 8 Critic Reviews"
EA Sports Active 2,16/11/2010,EA Canada,EA Sports,Exercise,Rated E For Everyone,6.3,11,"Wii, PlayStation 3, Xbox 360","79, 78, 68","Based on 8 Critic Reviews, Based on 20 Critic Reviews, Based on 21 Critic Reviews"
Voyage: Inspired by Jules Verne,18/8/2005,Kheops Studio,The Adventure Company,First-Person Adventure,Rated T For Teen,7.1,10,PC,71,Based on 13 Critic Reviews
AirForce Delta Storm,14/11/2001,KCE Studios,Konami,Vertical Shoot-'Em-Up,Rated E For Everyone,6.894852313,,"Xbox, Game Boy Advance","61, 71","Based on 21 Critic Reviews, Based on 6 Critic Reviews"
Fallout: New Vegas - Old World Blues,19/7/2011,Obsidian Entertainment,Bethesda Softworks,Western RPG,Rated M For Mature,8.2,124,"Xbox 360, PlayStation 3, PC","83, 81, 82","Based on 19 Critic Reviews, Based on 10 Critic Reviews, Based on 17 Critic Reviews"
MVP Baseball,18/5/2005,EA Canada,Electronic Arts,Baseball Sim,Rated E For Everyone,6.894852313,,PSP,67,Based on 21 Critic Reviews
World of Tanks Blitz,27/6/2014,Wargaming.net,Wargaming.net,Third Person Shooter,Not Rated,6.3,112,"iOS (iPhone/iPad), Nintendo Switch","83, 68","Based on 20 Critic Reviews, Based on 4 Critic Reviews"
Akiba's Trip: Undead & Undressed,25/11/2014,Acquire,XSEED Games,Open-World Action,Rated M For Mature,7.1,67,"PlayStation Vita, PlayStation 3, PlayStation 4","64, 57, 57","Based on 17 Critic Reviews, Based on 20 Critic Reviews, Based on 21 Critic Reviews"
Super Crate Box,5/1/2012,Vlambeer,Vlambeer,2D Platformer,Not Rated,5.7,6,"iOS (iPhone/iPad), PlayStation Vita, Nintendo Switch","75, tbd, tbd","Based on 21 Critic Reviews, Based on 1 Critic Review, Based on 1 Critic Review"
The Adventures of Cookie & Cream,30/4/2001,From Software,Agetec,Puzzle,Rated E For Everyone,8.6,8,PlayStation 2,78,Based on 9 Critic Reviews
Echo Generation,21/10/2021,Cococucumber,Cococucumber,Turn-Based Strategy,Not Rated,7.4,22,"Xbox Series X, Xbox One, PC","75, tbd, 76","Based on 15 Critic Reviews, Based on 2 Critic Reviews, Based on 5 Critic Reviews"
The Watchmaker (2001),1/6/2002,Trecision,Got Game Entertainment,Third-Person Adventure,Rated T For Teen,7.8,,PC,59,Based on 12 Critic Reviews
Red Johnson's Chronicles,3/5/2011,Lexis Numerique,Lexis Numerique,Point-and-Click,Rated M For Mature,5.2,5,"PlayStation 3, iOS (iPhone/iPad)","67, tbd","Based on 12 Critic Reviews, Based on 2 Critic Reviews"
One Step From Eden,26/3/2020,Thomas Moon Kang,Thomas Moon Kang,Defense,Not Rated,7.7,34,"PC, Nintendo Switch, Xbox One","82, 74, tbd","Based on 9 Critic Reviews, Based on 7 Critic Reviews, Based on 1 Critic Review"
Fuel (2009),2/6/2009,Asobo Studio,Codemasters,Racing,Rated E For Everyone,6.7,21,"PC, PlayStation 3, Xbox 360","67, 67, 66","Based on 16 Critic Reviews, Based on 44 Critic Reviews, Based on 45 Critic Reviews"
Professor Layton and the Curious Village,10/2/2008,Level 5,Nintendo,Adventure,Rated E For Everyone,8.3,209,DS,85,Based on 72 Critic Reviews
Mario + Rabbids: Kingdom Battle - Donkey Kong Adventure,26/6/2018,Ubisoft Milan,Ubisoft,Turn-Based Tactics,Rated E +10 For Everyone +10,8.3,94,Nintendo Switch,82,Based on 34 Critic Reviews
Infinity Strash: Dragon Quest The Adventure of Dai,28/9/2023,KAI GRAPHICS,Square Enix,JRPG,Rated T For Teen,5.4,24,"PlayStation 5, Nintendo Switch, Xbox Series X","61, 48, 73","Based on 26 Critic Reviews, Based on 4 Critic Reviews, Based on 5 Critic Reviews"
Flipnote Studio,12/8/2009,Nintendo,Nintendo,Application,Not Rated,7.2,64,DS,93,Based on 7 Critic Reviews
"Pokemon: Let's Go, Eevee!",16/11/2018,Game Freak,Nintendo,Trainer RPG,Rated E For Everyone,6.4,1133,Nintendo Switch,80,Based on 86 Critic Reviews
Dinocide,21/1/2016,AtomicTorch,AtomicTorch,2D Platformer,Not Rated,6.5,11,PC,51,Based on 7 Critic Reviews
The Sims 2: Castaway,23/10/2007,Maxis,Electronic Arts,Virtual Life,Rated T For Teen,7.1,7,"DS, Wii, PlayStation 2, PSP, PC","66, 73, 71, 64, 73","Based on 8 Critic Reviews, Based on 19 Critic Reviews, Based on 17 Critic Reviews, Based on 5 Critic Reviews, Based on 9 Critic Reviews"
Natural Doctrine,30/9/2014,Kadokawa,NIS America,Turn-Based Tactics,Rated M For Mature,6,86,"PlayStation 4, PlayStation 3, PlayStation Vita","53, tbd, 60","Based on 31 Critic Reviews, Based on 2 Critic Reviews, Based on 7 Critic Reviews"
Tower Bloxx Deluxe,21/10/2009,Digital Chocolate,Digital Chocolate,Action Puzzle,Rated E For Everyone,6,5,Xbox 360,62,Based on 19 Critic Reviews
A Little To The Left,8/11/2022,Max Inferno,Secret Mode,Puzzle,Not Rated,6.5,11,"PC, Nintendo Switch","75, 73","Based on 26 Critic Reviews, Based on 7 Critic Reviews"
Ultimate Mortal Kombat 3,22/10/2006,Digital Eclipse,Midway,2D Fighting,Rated M For Mature,7.4,22,"iOS (iPhone/iPad), Xbox 360","54, 70","Based on 10 Critic Reviews, Based on 18 Critic Reviews"
Plants vs Zombies: Garden Warfare,25/2/2014,PopCap,Electronic Arts,Tactical Third Person Shooter,Rated E +10 For Everyone +10,7.5,465,"Xbox 360, Xbox One, PlayStation 3, PC, PlayStation 4","69, 76, tbd, 78, 75","Based on 6 Critic Reviews, Based on 65 Critic Reviews, Based on 2 Critic Reviews, Based on 11 Critic Reviews, Based on 23 Critic Reviews"
Entwined,9/6/2014,Pixel Opus,SCEA,Arcade,Rated E For Everyone,6.7,187,"PlayStation 4, PlayStation Vita","59, tbd","Based on 49 Critic Reviews, Based on 1 Critic Review"
The Nightmare of Druaga,26/10/2004,Arika,Namco,Roguelike,Rated E For Everyone,8.3,,PlayStation 2,57,Based on 22 Critic Reviews
Canabalt,1/10/2009,Semi Secret Software,Semi Secret Software,2D Platformer,Not Rated,6.4,12,"iOS (iPhone/iPad), PSP","77, tbd","Based on 8 Critic Reviews, Based on 2 Critic Reviews"
Shogun: Total War,13/6/2000,Creative Assembly,Electronic Arts,Turn-Based Strategy,Rated T For Teen,8.3,129,PC,84,Based on 24 Critic Reviews
Half-Life: Alyx,23/3/2020,Valve Software,Valve Software,FPS,Not Rated,9.2,2876,PC,93,Based on 78 Critic Reviews
New Super Mario Bros. Wii,15/11/2009,Nintendo,Nintendo,2D Platformer,Rated E For Everyone,8.3,924,Wii,87,Based on 80 Critic Reviews
Cities: Skylines II,24/10/2023,Colossal Order,Paradox Interactive,Management,Rated E For Everyone,3.6,203,PC,74,Based on 64 Critic Reviews
Hysteria Hospital: Emergency Ward,16/6/2009,Gameinvest,O-Games,Tycoon,Rated E For Everyone,6.894852313,,"Wii, DS","53, 45","Based on 10 Critic Reviews, Based on 12 Critic Reviews"
RYL: Path of the Emperor,20/6/2005,Youxiland,Planetwide Games,MMORPG,Rated T For Teen,3.8,5,PC,50,Based on 21 Critic Reviews
Fire Emblem Fates: Special Edition,19/2/2016,Intelligent Systems,Nintendo,Turn-Based Tactics,Rated T For Teen,7.8,395,3DS,88,Based on 37 Critic Reviews
The Valiant,19/10/2022,Kite Games,THQ Nordic,Real-Time Strategy,Rated T For Teen,6.1,11,"PC, PlayStation 5, Xbox Series X","73, tbd, 70","Based on 15 Critic Reviews, Based on 4 Critic Reviews, Based on 7 Critic Reviews"
Boogie,7/8/2007,EA Montreal,Electronic Arts,Rhythm,Rated E +10 For Everyone +10,6.894852313,,"Wii, PlayStation 2, DS","57, 52, 58","Based on 37 Critic Reviews, Based on 12 Critic Reviews, Based on 11 Critic Reviews"
Disney/Pixar Buzz Lightyear of Star Command,26/9/2000,Traveller's Tales,Activision,Action,Rated E For Everyone,8.3,7,"Dreamcast, PlayStation","55, 54","Based on 16 Critic Reviews, Based on 10 Critic Reviews"
Sonic Colors: Ultimate,7/9/2021,Blind Squirrel Entertainment,Sega,3D Platformer,Rated E For Everyone,6.5,305,"Xbox One, PlayStation 4, Nintendo Switch, PC","74, 74, 67, tbd","Based on 13 Critic Reviews, Based on 54 Critic Reviews, Based on 16 Critic Reviews, Based on 2 Critic Reviews"
On The Wind,5/4/2012,Don't Step On The Cracks,Don't Step On The Cracks,Edutainment,Not Rated,6.894852313,,iOS (iPhone/iPad),75,Based on 10 Critic Reviews
Dead Effect 2,13/1/2017,BadFly Interactive,BadFly Interactive,FPS,Rated M For Mature,6.4,7,"iOS (iPhone/iPad), PC, Xbox One, PlayStation 4","78, 53, 56, tbd","Based on 5 Critic Reviews, Based on 4 Critic Reviews, Based on 7 Critic Reviews, Based on 2 Critic Reviews"
The Splatters,11/4/2012,SpikySnail Games Studio,Microsoft Game Studios,Action Puzzle,Rated E For Everyone,8.3,18,Xbox 360,72,Based on 32 Critic Reviews
Unsolved Crimes,30/9/2008,Now Production,Atari SA,Action Adventure,Rated T For Teen,6.894852313,,DS,66,Based on 20 Critic Reviews
rymdkapsel,1/8/2013,,,Action,Not Rated,7.9,17,"PlayStation Vita, iOS (iPhone/iPad), PC","75, 86, 77","Based on 5 Critic Reviews, Based on 17 Critic Reviews, Based on 4 Critic Reviews"
Scarlet Nexus,25/6/2021,Bandai Namco Games,Bandai Namco Games,Action RPG,Rated T For Teen,7.8,341,"Xbox Series X, PlayStation 5, PlayStation 4, Xbox One, PC","77, 80, 80, tbd, 78","Based on 22 Critic Reviews, Based on 71 Critic Reviews, Based on 12 Critic Reviews, Based on 1 Critic Review, Based on 26 Critic Reviews"
Shovel Knight: Treasure Trove,3/3/2017,Yacht Club Games,Yacht Club Games,2D Platformer,Rated E For Everyone,8.3,555,"Nintendo Switch, Xbox One","91, tbd","Based on 18 Critic Reviews, Based on 1 Critic Review"
Battle Isle: The Andosia War,29/11/2000,Cauldron Ltd.,Blue Byte,Turn-Based Tactics,Rated T For Teen,6.9,9,PC,70,Based on 11 Critic Reviews
Ikachan,31/1/2013,Nicalis,Nicalis,Action RPG,Rated E For Everyone,6.9,12,3DS,71,Based on 7 Critic Reviews
Frisbee Forever,5/5/2011,Kiloo,Kiloo,Individual Sports,Not Rated,6.894852313,,iOS (iPhone/iPad),86,Based on 7 Critic Reviews
Nintendogs + Cats: Toy Poodle & New Friends,27/3/2011,Nintendo,Nintendo,Virtual Pet,Rated E For Everyone,7.5,20,3DS,71,Based on 43 Critic Reviews
Disney Tsum Tsum Festival,8/11/2019,B.B.Studio,Bandai Namco Games,Party,Rated E For Everyone,4.7,12,Nintendo Switch,63,Based on 14 Critic Reviews
Broken Pieces,9/9/2022,Elseware Experience,Freedom Games,Survival,Not Rated,6.8,11,"PC, PlayStation 5, Xbox Series X, Xbox One","66, 62, 65, tbd","Based on 9 Critic Reviews, Based on 4 Critic Reviews, Based on 4 Critic Reviews, Based on 1 Critic Review"
Heroes of Might and Magic IV,28/3/2002,New World Computing,3DO,Turn-Based Strategy,Rated E For Everyone,7.7,365,PC,84,Based on 18 Critic Reviews
Mobile Suit Gundam: Federation vs. Zeon,9/9/2002,Capcom,Bandai,Vehicle Combat Sim,Rated T For Teen,7.7,16,PlayStation 2,73,Based on 15 Critic Reviews
Leap of Fate,30/3/2016,Clever-Plays,Clever-Plays,Roguelike,Not Rated,7.1,17,"PC, iOS (iPhone/iPad), PlayStation 4","80, 81, tbd","Based on 8 Critic Reviews, Based on 4 Critic Reviews, Based on 2 Critic Reviews"
The Talos Principle,11/12/2014,Croteam,Devolver Digital,First-Person Adventure,Rated T For Teen,8.6,773,"PC, iOS (iPhone/iPad)","85, tbd","Based on 57 Critic Reviews, Based on 3 Critic Reviews"
NHL Eastside Hockey Manager,19/10/2004,Sports Interactive,Sega,Hockey Sim,Rated E For Everyone,6,6,PC,77,Based on 7 Critic Reviews
Devil's Hunt,17/9/2019,Layopi Games,1C Entertainment,Action Adventure,Rated M For Mature,5.6,71,"PlayStation 4, PC","tbd, 47","Based on 1 Critic Review, Based on 20 Critic Reviews"
NAIRI: Tower of Shirin,28/11/2018,HomeBearStudio,HoundPicked Games,Action Puzzle,Not Rated,7.3,10,"Nintendo Switch, PC","72, tbd","Based on 12 Critic Reviews, Based on 2 Critic Reviews"
Stitchy in Tooki Trouble,15/4/2021,Polygoat,Polygoat,2D Platformer,Not Rated,6.894852313,,Nintendo Switch,58,Based on 13 Critic Reviews
Space Hulk,15/8/2013,Full Control,Full Control,Turn-Based Strategy,Rated T For Teen,6.6,169,"PC, iOS (iPhone/iPad), Wii U, PlayStation Vita","58, 63, 53, 51","Based on 22 Critic Reviews, Based on 9 Critic Reviews, Based on 4 Critic Reviews, Based on 6 Critic Reviews"
Kitty Powers' Matchmaker,7/2/2017,STELLAR ENTERTAINMENT SOFTWARE LTD,STELLAR ENTERTAINMENT SOFTWARE LTD,Tycoon,Rated T For Teen,6.3,,"iOS (iPhone/iPad), PC, PlayStation 4, Xbox One, Nintendo Switch","tbd, tbd, 72, 65, tbd","Based on 1 Critic Review, Based on 2 Critic Reviews, Based on 8 Critic Reviews, Based on 6 Critic Reviews, Based on 3 Critic Reviews"
Tentacles: Enter the Dolphin,4/10/2012,Microsoft Game Studios,Microsoft Game Studios,Adventure,Not Rated,6.894852313,,iOS (iPhone/iPad),85,Based on 10 Critic Reviews
Assassin's Creed Chronicles: India,13/1/2016,Climax Studios,Ubisoft,Linear Action Adventure,Rated T For Teen,4.4,84,"PlayStation 4, Xbox One, PC","63, 64, 63","Based on 41 Critic Reviews, Based on 20 Critic Reviews, Based on 15 Critic Reviews"
Woah Dave!,6/1/2015,Choice Provisions,Choice Provisions,2D Platformer,Rated E For Everyone,5.8,25,"3DS, PlayStation Vita, PlayStation 4, PC, iOS (iPhone/iPad), Wii U","tbd, 71, tbd, tbd, 82, tbd","Based on 3 Critic Reviews, Based on 7 Critic Reviews, Based on 1 Critic Review, Based on 1 Critic Review, Based on 6 Critic Reviews, Based on 1 Critic Review"
Torment: Tides of Numenera,26/1/2016,InXile Entertainment,Techland,Western RPG,Rated M For Mature,6.9,445,"PC, Xbox One, PlayStation 4","81, 79, 76","Based on 76 Critic Reviews, Based on 12 Critic Reviews, Based on 20 Critic Reviews"
Resistance 2,4/11/2008,Insomniac Games,SCEA,FPS,Rated M For Mature,7.5,539,PlayStation 3,87,Based on 79 Critic Reviews
Drox Operative,29/11/2012,Soldak Entertainment,Soldak Entertainment,Action RPG,Not Rated,7.2,24,PC,74,Based on 7 Critic Reviews
RF Online,21/2/2006,"CCR, Inc",Codemasters,MMORPG,Rated T For Teen,6.8,12,PC,56,Based on 23 Critic Reviews
Age of Pirates: Caribbean Tales,12/9/2006,Akella,Playlogic,Western RPG,Rated T For Teen,6.3,15,PC,56,Based on 23 Critic Reviews
Grand Theft Auto V,18/11/2014,Rockstar North,Rockstar Games,Open-World Action,Rated M For Mature,8.4,9576,"PlayStation 3, Xbox 360, PlayStation 4, Xbox One, PC, PlayStation 5, Xbox Series X","97, 97, 97, 97, 96, 81, 79","Based on 50 Critic Reviews, Based on 58 Critic Reviews, Based on 66 Critic Reviews, Based on 14 Critic Reviews, Based on 57 Critic Reviews, Based on 25 Critic Reviews, Based on 11 Critic Reviews"
Call of Duty: Black Ops - Rezurrection,23/8/2011,Treyarch,Activision,Tactical FPS,Rated M For Mature,4.8,44,"PlayStation 3, Xbox 360, PC","tbd, 70, tbd","Based on 1 Critic Review, Based on 7 Critic Reviews, Based on 1 Critic Review"
Gleamlight,20/8/2020,DICO,D3Publisher,2D Platformer,Not Rated,2.8,10,"Nintendo Switch, PlayStation 4, Xbox One, PC","42, tbd, tbd, tbd","Based on 7 Critic Reviews, Based on 3 Critic Reviews, Based on 2 Critic Reviews, Based on 1 Critic Review"
Massive Assault Network 2,,Wargaming.net,Wargaming.net,Turn-Based Strategy,Not Rated,6.894852313,,PC,72,Based on 15 Critic Reviews
Uru: The Path of the Shell,7/7/2004,Cyan Worlds,Ubisoft,First-Person Adventure,Rated E For Everyone,6.1,7,PC,72,Based on 9 Critic Reviews
Looney Tunes: Duck Amuck,9/10/2007,WayForward,Warner Bros. Interactive Entertainment,Party,Rated E For Everyone,6.894852313,,DS,66,Based on 16 Critic Reviews
Tetris Axis,2/10/2011,Hudson Soft,Nintendo,Stacking Puzzle,Rated E For Everyone,7.1,34,3DS,74,Based on 33 Critic Reviews
Brothers in Arms: Hell's Highway,23/9/2008,Gearbox Software,Ubisoft,Tactical FPS,Rated M For Mature,7.3,66,"PC, PlayStation 3, Xbox 360","79, 76, 76","Based on 22 Critic Reviews, Based on 48 Critic Reviews, Based on 65 Critic Reviews"
Switchball,7/11/2007,Atomic Elbow AB,Sierra Online,Action Puzzle,Rated E For Everyone,3.8,,"Xbox 360, PC, PlayStation 3","78, tbd, 68","Based on 25 Critic Reviews, Based on 3 Critic Reviews, Based on 8 Critic Reviews"
Galactic Civilizations IV,26/4/2022,Stardock,Stardock,4X Strategy,Not Rated,3.1,13,PC,67,Based on 13 Critic Reviews
Mario Party 4,21/10/2002,Hudson,Nintendo,Party,Rated E For Everyone,7.7,112,GameCube,70,Based on 26 Critic Reviews
White Day: A Labyrinth Named School,29/8/2017,ROIGAMES Inc.,PQube,Survival,Rated T For Teen,6.5,31,"PlayStation 4, PC, Xbox Series X, PlayStation 5, Nintendo Switch, Xbox One","67, tbd, tbd, tbd, 63, tbd","Based on 32 Critic Reviews, Based on 1 Critic Review, Based on 2 Critic Reviews, Based on 2 Critic Reviews, Based on 4 Critic Reviews, Based on 1 Critic Review"
Crash 'N' Burn,16/11/2004,Climax Studios,Eidos Interactive,Auto Racing,Rated T For Teen,6.894852313,,"PlayStation 2, Xbox","63, 65","Based on 17 Critic Reviews, Based on 25 Critic Reviews"
Kirby Fighters Deluxe,29/8/2014,HAL Labs,Nintendo,2D Fighting,Rated E For Everyone,6.1,14,3DS,66,Based on 10 Critic Reviews
Abyss Odyssey: Extended Dream Edition,28/7/2015,ACE Team,Atlus,Linear Action Adventure,Rated T For Teen,5.6,12,PlayStation 4,65,Based on 16 Critic Reviews
Crimson Sea,16/12/2002,Koei,Koei,3D Beat-'Em-Up,Rated T For Teen,7.8,,Xbox,78,Based on 19 Critic Reviews
Sanity: Aiken's Artifact,26/9/2000,Monolith Productions,Fox Interactive,Action,Rated T For Teen,6.8,12,PC,73,Based on 20 Critic Reviews
Dracula: Undead Awakening,28/1/2010,Chillingo,Chillingo,Top-Down Shoot-'Em-Up,Rated T For Teen,6.894852313,,"PSP, Wii, DS","75, 59, 67","Based on 8 Critic Reviews, Based on 5 Critic Reviews, Based on 5 Critic Reviews"
UFC Undisputed 2010,25/5/2010,Yuke's,THQ,Wrestling,Rated T For Teen,6.7,44,"PSP, PlayStation 3, Xbox 360","74, 85, 84","Based on 27 Critic Reviews, Based on 54 Critic Reviews, Based on 70 Critic Reviews"
X-Men Origins: Wolverine (2009),1/5/2009,Griptonite Games,Activision,3D Beat-'Em-Up,Rated E +10 For Everyone +10,7.9,9,DS,55,Based on 8 Critic Reviews
Vacation Simulator,9/4/2019,Owlchemy Labs,Owlchemy Labs,Virtual Career,Rated E For Everyone,6.7,15,"PC, PlayStation 4","77, 75","Based on 8 Critic Reviews, Based on 6 Critic Reviews"
Contra,8/11/2006,Backbone Entertainment,Konami,2D Platformer,Rated E +10 For Everyone +10,5.7,9,Xbox 360,63,Based on 18 Critic Reviews
Nuclear Dawn,22/9/2011,Interwave Studios,Viva Media,FPS,Rated M For Mature,7.5,128,PC,71,Based on 25 Critic Reviews
FIFA Manager 11,3/11/2010,Electronic Arts,Electronic Arts,Soccer Management,Rated E For Everyone,5.4,32,PC,75,Based on 9 Critic Reviews
FIST OF AWESOME,14/10/2013,I FIGHT BEARS LTD,I FIGHT BEARS LTD,2D Beat-'Em-Up,Not Rated,5.6,5,iOS (iPhone/iPad),74,Based on 12 Critic Reviews
Disgaea D2: A Brighter Darkness,8/10/2013,Nippon Ichi Software,NIS America,Turn-Based Tactics,Rated T For Teen,7.6,71,PlayStation 3,74,Based on 37 Critic Reviews
Danmaku Unlimited 3,13/3/2018,Doragon Entertainment,Doragon Entertainment,Vertical Shoot-'Em-Up,Rated E +10 For Everyone +10,8.1,28,"PC, iOS (iPhone/iPad), Nintendo Switch, PlayStation 4","tbd, tbd, 84, tbd","Based on 2 Critic Reviews, Based on 3 Critic Reviews, Based on 7 Critic Reviews, Based on 2 Critic Reviews"
